Latitude,Longitude,Activity,Date,Time,Route
42.336841,-71.077175,Cycling,04-05-2010,00:42:14,bfe18a64e76c6f64a412560846145dd3
42.334985,-71.075073,Cycling,04-05-2010,00:42:14,bfe18a64e76c6f64a412560846145dd3
42.333653,-71.07342,Cycling,04-05-2010,00:42:14,bfe18a64e76c6f64a412560846145dd3
42.332812,-71.071897,Cycling,04-05-2010,00:42:14,bfe18a64e76c6f64a412560846145dd3
42.331384,-71.070781,Cycling,04-05-2010,00:42:14,bfe18a64e76c6f64a412560846145dd3
42.330591,-71.070051,Cycling,04-05-2010,00:42:14,bfe18a64e76c6f64a412560846145dd3
42.330052,-71.069665,Cycling,04-05-2010,00:42:14,bfe18a64e76c6f64a412560846145dd3
42.33075,-71.068657,Cycling,04-05-2010,00:42:14,bfe18a64e76c6f64a412560846145dd3
42.331575,-71.06812,Cycling,04-05-2010,00:42:14,bfe18a64e76c6f64a412560846145dd3
42.331416,-71.067305,Cycling,04-05-2010,00:42:14,bfe18a64e76c6f64a412560846145dd3
42.330813,-71.064236,Cycling,04-05-2010,00:42:14,bfe18a64e76c6f64a412560846145dd3
42.329671,-71.058078,Cycling,04-05-2010,00:42:14,bfe18a64e76c6f64a412560846145dd3
42.329274,-71.05604,Cycling,04-05-2010,00:42:14,bfe18a64e76c6f64a412560846145dd3
42.329132,-71.055417,Cycling,04-05-2010,00:42:14,bfe18a64e76c6f64a412560846145dd3
42.329163,-71.052885,Cycling,04-05-2010,00:42:14,bfe18a64e76c6f64a412560846145dd3
42.329036,-71.052263,Cycling,04-05-2010,00:42:14,bfe18a64e76c6f64a412560846145dd3

