Latitude,Longitude,Activity,Date,Time,Route
42.330547,-71.041294,Cycling,02-05-2010,00:01:55,871d35159fcee7712566a750b8024d23
42.330611,-71.038118,Cycling,02-05-2010,00:01:55,871d35159fcee7712566a750b8024d23
42.330642,-71.035264,Cycling,02-05-2010,00:01:55,871d35159fcee7712566a750b8024d23
42.333196,-71.035286,Cycling,02-05-2010,00:01:55,871d35159fcee7712566a750b8024d23
42.33778,-71.035522,Cycling,02-05-2010,00:01:55,871d35159fcee7712566a750b8024d23
42.340477,-71.035565,Cycling,02-05-2010,00:01:55,871d35159fcee7712566a750b8024d23
42.341714,-71.035758,Cycling,02-05-2010,00:01:55,871d35159fcee7712566a750b8024d23
42.342396,-71.036144,Cycling,02-05-2010,00:01:55,871d35159fcee7712566a750b8024d23
42.34303,-71.037174,Cycling,02-05-2010,00:01:55,871d35159fcee7712566a750b8024d23
42.344347,-71.039105,Cycling,02-05-2010,00:01:55,871d35159fcee7712566a750b8024d23
42.345568,-71.041144,Cycling,02-05-2010,00:01:55,871d35159fcee7712566a750b8024d23
42.346218,-71.042174,Cycling,02-05-2010,00:01:55,871d35159fcee7712566a750b8024d23
42.347281,-71.041036,Cycling,02-05-2010,00:01:55,871d35159fcee7712566a750b8024d23
42.348375,-71.040264,Cycling,02-05-2010,00:01:55,871d35159fcee7712566a750b8024d23
42.349136,-71.039663,Cycling,02-05-2010,00:01:55,871d35159fcee7712566a750b8024d23
42.349723,-71.041208,Cycling,02-05-2010,00:01:55,871d35159fcee7712566a750b8024d23
42.350833,-71.043676,Cycling,02-05-2010,00:01:55,871d35159fcee7712566a750b8024d23
42.353275,-71.048632,Cycling,02-05-2010,00:01:55,871d35159fcee7712566a750b8024d23
42.354258,-71.050843,Cycling,02-05-2010,00:01:55,871d35159fcee7712566a750b8024d23
42.354765,-71.051422,Cycling,02-05-2010,00:01:55,871d35159fcee7712566a750b8024d23
42.355463,-71.05095,Cycling,02-05-2010,00:01:55,871d35159fcee7712566a750b8024d23
42.356288,-71.050864,Cycling,02-05-2010,00:01:55,871d35159fcee7712566a750b8024d23
42.357223,-71.050843,Cycling,02-05-2010,00:01:55,871d35159fcee7712566a750b8024d23
42.357731,-71.051229,Cycling,02-05-2010,00:01:55,871d35159fcee7712566a750b8024d23
42.358967,-71.051637,Cycling,02-05-2010,00:01:55,871d35159fcee7712566a750b8024d23
42.360172,-71.05213,Cycling,02-05-2010,00:01:55,871d35159fcee7712566a750b8024d23
42.360965,-71.05286,Cycling,02-05-2010,00:01:55,871d35159fcee7712566a750b8024d23
42.361647,-71.05419,Cycling,02-05-2010,00:01:55,871d35159fcee7712566a750b8024d23
42.362582,-71.055864,Cycling,02-05-2010,00:01:55,871d35159fcee7712566a750b8024d23
42.363185,-71.056937,Cycling,02-05-2010,00:01:55,871d35159fcee7712566a750b8024d23
42.364374,-71.058267,Cycling,02-05-2010,00:01:55,871d35159fcee7712566a750b8024d23
42.366086,-71.05846,Cycling,02-05-2010,00:01:55,871d35159fcee7712566a750b8024d23
42.367117,-71.058696,Cycling,02-05-2010,00:01:55,871d35159fcee7712566a750b8024d23
42.368306,-71.059619,Cycling,02-05-2010,00:01:55,871d35159fcee7712566a750b8024d23
42.369225,-71.06022,Cycling,02-05-2010,00:01:55,871d35159fcee7712566a750b8024d23
42.370002,-71.060735,Cycling,02-05-2010,00:01:55,871d35159fcee7712566a750b8024d23
42.371017,-71.061765,Cycling,02-05-2010,00:01:55,871d35159fcee7712566a750b8024d23
42.37173,-71.061078,Cycling,02-05-2010,00:01:55,871d35159fcee7712566a750b8024d23
42.37257,-71.059898,Cycling,02-05-2010,00:01:55,871d35159fcee7712566a750b8024d23
42.373728,-71.058353,Cycling,02-05-2010,00:01:55,871d35159fcee7712566a750b8024d23
42.374663,-71.057258,Cycling,02-05-2010,00:01:55,871d35159fcee7712566a750b8024d23
42.375313,-71.056293,Cycling,02-05-2010,00:01:55,871d35159fcee7712566a750b8024d23
42.374853,-71.055649,Cycling,02-05-2010,00:01:55,871d35159fcee7712566a750b8024d23
42.374409,-71.055177,Cycling,02-05-2010,00:01:55,871d35159fcee7712566a750b8024d23
42.374837,-71.054683,Cycling,02-05-2010,00:01:55,871d35159fcee7712566a750b8024d23
42.373775,-71.053375,Cycling,02-05-2010,00:01:55,871d35159fcee7712566a750b8024d23
42.330448,-71.046276,Cycling,04-05-2010,00:42:14,bfe18a64e76c6f64a412560846145dd3
42.33029,-71.049967,Cycling,04-05-2010,00:42:14,bfe18a64e76c6f64a412560846145dd3
42.330036,-71.051169,Cycling,04-05-2010,00:42:14,bfe18a64e76c6f64a412560846145dd3
42.32956,-71.051941,Cycling,04-05-2010,00:42:14,bfe18a64e76c6f64a412560846145dd3
42.32956,-71.052499,Cycling,04-05-2010,00:42:14,bfe18a64e76c6f64a412560846145dd3
42.329274,-71.052757,Cycling,04-05-2010,00:42:14,bfe18a64e76c6f64a412560846145dd3
42.329179,-71.054945,Cycling,04-05-2010,00:42:14,bfe18a64e76c6f64a412560846145dd3
42.329592,-71.057134,Cycling,04-05-2010,00:42:14,bfe18a64e76c6f64a412560846145dd3
42.332384,-71.071339,Cycling,04-05-2010,00:42:14,bfe18a64e76c6f64a412560846145dd3
42.332606,-71.072068,Cycling,04-05-2010,00:42:14,bfe18a64e76c6f64a412560846145dd3
42.333494,-71.073528,Cycling,04-05-2010,00:42:14,bfe18a64e76c6f64a412560846145dd3
42.336539,-71.077004,Cycling,04-05-2010,00:42:14,bfe18a64e76c6f64a412560846145dd3
42.339268,-71.080394,Cycling,04-05-2010,00:42:14,bfe18a64e76c6f64a412560846145dd3
42.340536,-71.081724,Cycling,04-05-2010,00:42:14,bfe18a64e76c6f64a412560846145dd3
42.342789,-71.085029,Cycling,04-05-2010,00:42:14,bfe18a64e76c6f64a412560846145dd3
42.341425,-71.08666,Cycling,04-05-2010,00:42:14,bfe18a64e76c6f64a412560846145dd3
42.340156,-71.089621,Cycling,04-05-2010,00:42:14,bfe18a64e76c6f64a412560846145dd3
42.338887,-71.092925,Cycling,04-05-2010,00:42:14,bfe18a64e76c6f64a412560846145dd3
42.335968,-71.100435,Cycling,04-05-2010,00:42:14,bfe18a64e76c6f64a412560846145dd3
42.334224,-71.104985,Cycling,04-05-2010,00:42:14,bfe18a64e76c6f64a412560846145dd3
42.333684,-71.105714,Cycling,04-05-2010,00:42:14,bfe18a64e76c6f64a412560846145dd3
42.335302,-71.10816,Cycling,04-05-2010,00:42:14,bfe18a64e76c6f64a412560846145dd3
42.33489,-71.108675,Cycling,04-05-2010,00:42:14,bfe18a64e76c6f64a412560846145dd3
42.335334,-71.107774,Cycling,04-05-2010,00:42:14,bfe18a64e76c6f64a412560846145dd3
42.333748,-71.105328,Cycling,04-05-2010,00:42:14,bfe18a64e76c6f64a412560846145dd3
42.335239,-71.101809,Cycling,04-05-2010,00:42:14,bfe18a64e76c6f64a412560846145dd3
42.336793,-71.097818,Cycling,04-05-2010,00:42:14,bfe18a64e76c6f64a412560846145dd3
42.338411,-71.093698,Cycling,04-05-2010,00:42:14,bfe18a64e76c6f64a412560846145dd3
42.339426,-71.090951,Cycling,04-05-2010,00:42:14,bfe18a64e76c6f64a412560846145dd3
42.340917,-71.087475,Cycling,04-05-2010,00:42:14,bfe18a64e76c6f64a412560846145dd3
42.341187,-71.086767,Cycling,04-05-2010,00:42:14,bfe18a64e76c6f64a412560846145dd3
42.342265,-71.085372,Cycling,04-05-2010,00:42:14,bfe18a64e76c6f64a412560846145dd3
42.342773,-71.08475,Cycling,04-05-2010,00:42:14,bfe18a64e76c6f64a412560846145dd3
42.341425,-71.082776,Cycling,04-05-2010,00:42:14,bfe18a64e76c6f64a412560846145dd3
42.34079,-71.081832,Cycling,04-05-2010,00:42:14,bfe18a64e76c6f64a412560846145dd3
42.339363,-71.080201,Cycling,04-05-2010,00:42:14,bfe18a64e76c6f64a412560846145dd3
42.338808,-71.079557,Cycling,04-05-2010,00:42:14,bfe18a64e76c6f64a412560846145dd3
